Year,Sex,Age,Population
2015,Male,0,"22,774"
2015,Male,1,"22,675"
2015,Male,2,"22,992"
2015,Male,3,"22,867"
2015,Male,4,"22,854"
2015,Male,5,"23,858"
2015,Male,6,"24,193"
2015,Male,7,"24,157"
2015,Male,8,"23,945"
2015,Male,9,"23,395"
2015,Male,10,"23,275"
2015,Male,11,"23,562"
2015,Male,12,"23,628"
2015,Male,13,"23,674"
2015,Male,14,"24,258"
2015,Male,15,"25,513"
2015,Male,16,"26,720"
2015,Male,17,"27,868"
2015,Male,18,"30,014"
2015,Male,19,"33,292"
2015,Male,20,"34,467"
2015,Male,21,"34,433"
2015,Male,22,"33,972"
2015,Male,23,"33,174"
2015,Male,24,"32,420"
2015,Male,25,"32,003"
2015,Male,26,"31,549"
2015,Male,27,"30,533"
2015,Male,28,"30,144"
2015,Male,29,"31,402"
2015,Male,30,"31,966"
2015,Male,31,"31,740"
2015,Male,32,"31,785"
2015,Male,33,"31,499"
2015,Male,34,"31,908"
2015,Male,35,"31,470"
2015,Male,36,"30,363"
2015,Male,37,"29,510"
2015,Male,38,"29,535"
2015,Male,39,"29,722"
2015,Male,40,"29,853"
2015,Male,41,"29,209"
2015,Male,42,"29,913"
2015,Male,43,"30,463"
2015,Male,44,"32,838"
2015,Male,45,"32,825"
2015,Male,46,"32,399"
2015,Male,47,"31,565"
2015,Male,48,"31,151"
2015,Male,49,"31,909"
2015,Male,50,"33,868"
2015,Male,51,"35,168"
2015,Male,52,"36,370"
2015,Male,53,"34,978"
2015,Male,54,"35,656"
2015,Male,55,"34,954"
2015,Male,56,"34,123"
2015,Male,57,"34,480"
2015,Male,58,"33,549"
2015,Male,59,"33,341"
2015,Male,60,"32,499"
2015,Male,61,"31,441"
2015,Male,62,"30,342"
2015,Male,63,"29,526"
2015,Male,64,"29,036"
2015,Male,65,"28,611"
2015,Male,66,"27,622"
2015,Male,67,"27,741"
2015,Male,68,"27,249"
2015,Male,69,"22,616"
2015,Male,70,"20,973"
2015,Male,71,"20,545"
2015,Male,72,"19,215"
2015,Male,73,"17,463"
2015,Male,74,"16,357"
2015,Male,75,"15,172"
2015,Male,76,"14,237"
2015,Male,77,"13,275"
2015,Male,78,"12,423"
2015,Male,79,"11,964"
2015,Male,80,"10,981"
2015,Male,81,"10,128"
2015,Male,82,"9,595"
2015,Male,83,"9,022"
2015,Male,84,"8,324"
2015,Male,85,"7,287"
2015,Male,86,"6,310"
2015,Male,87,"5,439"
2015,Male,88,"4,605"
2015,Male,89,"3,800"
2015,Male,90,"3,191"
2015,Male,91,"2,676"
2015,Male,92,"2,101"
2015,Male,93,"1,697"
2015,Male,94,"1,233"
2015,Male,95,811
2015,Male,96,409
2015,Male,97,233
2015,Male,98,144
2015,Male,99,89
2015,Male,100+,174
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
2015,Female,0,"21,502"
2015,Female,1,"21,365"
2015,Female,2,"21,741"
2015,Female,3,"21,587"
2015,Female,4,"21,844"
2015,Female,5,"21,714"
2015,Female,6,"22,309"
2015,Female,7,"22,512"
2015,Female,8,"22,211"
2015,Female,9,"22,004"
2015,Female,10,"21,947"
2015,Female,11,"22,094"
2015,Female,12,"22,232"
2015,Female,13,"22,174"
2015,Female,14,"22,951"
2015,Female,15,"23,963"
2015,Female,16,"25,380"
2015,Female,17,"26,563"
2015,Female,18,"27,638"
2015,Female,19,"30,580"
2015,Female,20,"31,020"
2015,Female,21,"30,946"
2015,Female,22,"30,903"
2015,Female,23,"30,676"
2015,Female,24,"30,354"
2015,Female,25,"31,762"
2015,Female,26,"31,344"
2015,Female,27,"31,027"
2015,Female,28,"31,106"
2015,Female,29,"31,693"
2015,Female,30,"32,428"
2015,Female,31,"32,591"
2015,Female,32,"32,879"
2015,Female,33,"32,940"
2015,Female,34,"32,410"
2015,Female,35,"31,546"
2015,Female,36,"30,763"
2015,Female,37,"29,972"
2015,Female,38,"29,731"
2015,Female,39,"30,332"
2015,Female,40,"30,321"
2015,Female,41,"30,057"
2015,Female,42,"30,580"
2015,Female,43,"31,042"
2015,Female,44,"33,844"
2015,Female,45,"33,649"
2015,Female,46,"33,828"
2015,Female,47,"32,677"
2015,Female,48,"31,804"
2015,Female,49,"33,271"
2015,Female,50,"35,007"
2015,Female,51,"37,055"
2015,Female,52,"37,263"
2015,Female,53,"36,138"
2015,Female,54,"36,765"
2015,Female,55,"36,312"
2015,Female,56,"35,571"
2015,Female,57,"35,265"
2015,Female,58,"34,471"
2015,Female,59,"33,682"
2015,Female,60,"33,501"
2015,Female,61,"32,057"
2015,Female,62,"30,709"
2015,Female,63,"29,692"
2015,Female,64,"29,215"
2015,Female,65,"29,138"
2015,Female,66,"28,106"
2015,Female,67,"28,069"
2015,Female,68,"28,152"
2015,Female,69,"23,183"
2015,Female,70,"21,574"
